year,value
1960,44307342950
1961,53508617739
1962,60723018684
1963,69498131797
1964,81749006382
1965,90950278258
1966,1.05628E+11
1967,1.23782E+11
1968,1.46601E+11
1969,1.72204E+11
1970,2.12609E+11
1971,2.40152E+11
1972,3.18031E+11
1973,4.32083E+11
1974,4.79626E+11
1975,5.21542E+11
1976,5.86162E+11
1977,7.21412E+11
1978,1.01361E+12
1979,1.05501E+12
1980,1.10539E+12
1981,1.21899E+12
1982,1.13452E+12
1983,1.24332E+12
1984,1.31838E+12
1985,1.39889E+12
1986,2.07895E+12
1987,2.53281E+12
1988,3.07168E+12
1989,3.05491E+12
1990,3.13282E+12
1991,3.58442E+12
1992,3.90881E+12
1993,4.45414E+12
1994,4.90704E+12
1995,5.44912E+12
1996,4.83371E+12
1997,4.41473E+12
1998,4.03251E+12
1999,4.56208E+12
2000,4.88752E+12
2001,4.30354E+12
2002,4.11512E+12
2003,4.44566E+12
2004,4.81515E+12
2005,4.75541E+12
2006,4.53038E+12
2007,4.51526E+12
2008,5.03791E+12
2009,5.23138E+12
2010,5.7001E+12
2011,6.15746E+12
2012,6.20321E+12
2013,5.15572E+12
2014,4.85041E+12
2015,4.38948E+12
2016,4.92667E+12
2017,4.85995E+12
2018,4.97132E+12
