time_seq,timeseries,observed_count,trend,first_derivative
1,1,44307342950,42514052547.29386,10503771778.728676
2,2,53508617739,52569501725.34599,9455644365.65646
3,3,60723018684,61342044486.91242,9461462367.075195
4,4,69498131797,70275161700.62567,10339313376.283499
5,5,81749006382,80280387399.45364,11883896418.92933
6,6,90950278258,91463041395.29088,14568044276.30224
7,7,105628000000,105458034032.82373,18311995233.6589
8,8,123782000000,123154486135.91917,23264843865.510597
9,9,146601000000,145646908404.84613,29742257889.783066
10,10,172204000000,174378221799.25702,38196313440.98759
11,11,212609000000,212107146194.68677,48211317342.75693
12,12,240152000000,259725611040.55746,60199976699.93594
13,13,318031000000,324226138003.74664,68722693954.16835
14,14,432083000000,398798166722.10486,72182971031.67009
15,15,479626000000,468509264198.491,80462060348.57948
16,16,521542000000,543720267041.40936,97048742446.08208
17,17,586162000000,641062518742.1825,115859056838.109
18,18,721412000000,770940214520.5283,121243712216.7484
19,19,1013610000000,918584619307.6456,98778121659.51477
20,20,1055010000000,1020007088364.4408,75816249149.40912
21,21,1105390000000,1089716957002.2405,62045254424.56365
22,22,1218990000000,1141737570165.7546,61710329682.779434
23,23,1134520000000,1174110151128.9238,97523912161.55191
24,24,1243320000000,1252193852353.0957,158789846359.16516
25,25,1318380000000,1393761950863.155,244519921018.17493
26,26,1398890000000,1639905611748.0125,334812299625.6859
27,27,2078950000000,2036595554177.3843,361170129924.83417
28,28,2532810000000,2449054715450.2515,336748309136.07263
29,29,3071680000000,2816153234796.9185,285534284517.86017
30,30,3054910000000,3068156038224.604,281327321654.73846
31,31,3132820000000,3319263388345.318,320120166169.56494
32,32,3584420000000,3655774430067.188,348103396786.1682
33,33,3908810000000,4038107309922.4575,345031149001.1089
34,34,4454140000000,4449692269473.283,272793478042.8832
35,35,4907040000000,4787927625434.204,130786366305.74895
36,36,5449120000000,4954377776016.541,-49716146648.689674
37,37,4833710000000,4816639857648.573,-127979649697.62074
38,38,4414730000000,4596370900643.819,-101055193700.74384
39,39,4032510000000,4448436624796.896,-21653866776.91183
40,40,4562080000000,4483885332073.031,-10005229330.169579
41,41,4887520000000,4511434009814.165,-42802503331.93588
42,42,4303540000000,4412163916007.073,-10300325392.306015
43,43,4115120000000,4372551979141.3804,56413445667.394485
44,44,4445660000000,4464011808120.733,83389474627.75165
45,45,4815150000000,4587035618090.626,65944242219.853516
46,46,4755410000000,4635585600175.278,70708428147.42451
47,47,4530380000000,4658943668231.318,133050613751.11276
48,48,4515260000000,4776784838948.879,216808189758.27515
49,49,5037910000000,5043764795410.82,247279198195.90137
50,50,5231380000000,5342679459163.094,223548225931.21692
51,51,5700100000000,5645688015441.455,112251965121.01144
52,52,6157460000000,5823797314769.976,-73552136856.5897
53,53,6203210000000,5732686840813.39,-240646339986.28046
54,54,5155720000000,5356851373930.459,-255064561648.96133
55,55,4850410000000,5016880528867.462,-176344747103.48544
56,56,4389480000000,4797247130566.809,-51365056808.19683
57,57,4926670000000,4804535205203.144,3251286166.2480845
58,58,4859950000000,4835905924114.711,24872007015.30715
59,59,4971320000000,4882886344904.015,21141205963.011063
